player,pos,stat,games,r2,verdict,alpha,loc,scale
Patrick Mahomes,QB,passing_yards,16,0.9543817159162511,acceptable,-3649454.4790316913,331.00012917468825,102.57136018959937
Patrick Mahomes,QB,passing_tds,16,0.8984216004270146,poor,0.18830622796511587,1.4768817040208873,1.0031506911221981
Patrick Mahomes,QB,passing_interceptions,16,0.866579532363125,poor,6259674.5035462435,-8.589761974285488e-07,1.0306703558323878
Patrick Mahomes,QB,rushing_yards,16,0.9536260265992044,acceptable,105119646.78834003,-1.2335017695469767e-06,24.17781232996697
Patrick Mahomes,QB,rushing_tds,16,0.52030932684099,poor,9215839.595144432,-2.1242260400109957e-07,0.3535605922796099
Jalen Hurts,QB,passing_yards,15,0.9780679117984279,acceptable,-33445033.327171177,311.00002104690907,141.51327253658786
Jalen Hurts,QB,passing_tds,15,0.8607682658222007,poor,-5831153.121355373,2.000000948914481,1.0954374596855665
Jalen Hurts,QB,passing_interceptions,15,0.7508541942683123,poor,19107881.516241938,-2.041381980237002e-07,0.6831519737118932
Jalen Hurts,QB,rushing_yards,15,0.9788047777433803,acceptable,58429627.33881289,19.999997545554123,28.018730311705337
Jalen Hurts,QB,rushing_tds,15,0.8936552231670408,poor,49423388.858603,-1.3796142289476296e-07,1.264973014151649
Lamar Jackson,QB,passing_yards,17,0.9645703039997229,acceptable,0.04252314409520218,243.53294965661297,55.425694081867945
Lamar Jackson,QB,passing_tds,17,0.9391538127710818,poor,14800668.19996611,0.9999992811168761,1.9401959451702409
Lamar Jackson,QB,passing_interceptions,17,0.6697706578058888,poor,3647745.9747251878,-7.405939863197238e-07,0.48501845826835455
Lamar Jackson,QB,rushing_yards,17,0.9740760008722379,acceptable,1.949017040554836,25.53310430836612,39.948803072341605
Lamar Jackson,QB,rushing_tds,17,0.6697706578058888,poor,3647745.9747251878,-7.405939863197238e-07,0.48501845826835455
Christian McCaffrey,RB,rushing_yards,4,0.9863014850028655,acceptable,14923847.980699662,30.999990698132386,26.702670735295072
Christian McCaffrey,RB,rushing_tds,4,,fit_error: Optimization converged to parameters that are outside the range allowed by the distribution.,,,
Christian McCaffrey,RB,receptions,4,0.9963370881999164,acceptable,12358864.7072571,1.999998951384847,2.291199730572602
Christian McCaffrey,RB,receiving_yards,4,0.9793471802220978,acceptable,10731733.216002464,13.999985686647051,30.06072891485013
Christian McCaffrey,RB,receiving_tds,4,,fit_error: Optimization converged to parameters that are outside the range allowed by the distribution.,,,
Derrick Henry,RB,rushing_yards,17,0.9544880592820627,acceptable,7.199407024220393,53.06639569641689,74.01850868792698
Derrick Henry,RB,rushing_tds,17,0.8422075769592403,poor,0.5622012877139395,0.6329260207236445,0.7880162403389158
Derrick Henry,RB,receptions,17,0.915868121259749,poor,5578231.117554814,-1.314886651922822e-06,1.4752488480681487
Derrick Henry,RB,receiving_yards,17,0.9267363258513802,poor,16231905.839548461,-5.470834478597578e-06,15.594452309256368
Derrick Henry,RB,receiving_tds,17,0.5053215032059629,poor,10740478.362745993,-1.8031996129040877e-07,0.34297399190450606
Tyreek Hill,WR,receptions,17,0.9768725828716494,acceptable,5.698636888240948,1.52725748329836,4.067343014975641
Tyreek Hill,WR,receiving_yards,17,0.9862836545931035,acceptable,12003384.412535278,7.999974986529869,60.25059973545572
Tyreek Hill,WR,receiving_tds,17,0.7100397224101496,poor,5676086.98525147,-5.79802515010145e-07,0.5940756455290845
Tyreek Hill,WR,rushing_yards,17,0.7884969116325244,poor,2264317.1659017964,-1.5046494214766392e-05,6.357826912096273
Justin Jefferson,WR,receptions,17,0.9542878798105175,acceptable,-1.7381289662298411,7.900976978607857,2.663827854650513
Justin Jefferson,WR,receiving_yards,17,0.9682488216779055,acceptable,0.17045259883079208,85.77439232634461,32.83461474887368
Justin Jefferson,WR,receiving_tds,17,0.8571426265876607,poor,7330607.274867393,-6.811684852392339e-07,0.9073810610316253
Justin Jefferson,WR,rushing_yards,17,0.3315348544254717,poor,2605502.8693189677,-1.5309705056114132e-06,0.7275862261171424
CeeDee Lamb,WR,receptions,15,0.9719351956081477,acceptable,1.999972255162134,4.083953327606167,3.725792603443401
CeeDee Lamb,WR,receiving_yards,15,0.9731920013862158,acceptable,0.9162900248085524,59.767299677058766,36.78009820330907
CeeDee Lamb,WR,receiving_tds,15,0.8008582159089398,poor,11722097.931689506,-3.318239184561835e-07,0.7302872431676336
CeeDee Lamb,WR,rushing_yards,15,0.844885240937158,poor,5615365.88354592,-8.035463402561038e-06,8.569950220112972
Travis Kelce,TE,receptions,16,0.9788278467865811,acceptable,3.4943575083803675,2.2087019890099526,5.003537425967922
Travis Kelce,TE,receiving_yards,16,0.9604533463269858,acceptable,0.10989137355461617,48.822331780225575,30.00558646567288
Travis Kelce,TE,receiving_tds,16,0.6229069852770932,poor,5684060.968741268,-3.999543433035756e-07,0.43305564215158876
Sam LaPorta,TE,receptions,16,0.9517094998468081,acceptable,9885913.02589922,0.9999983040505587,3.3539929809336506
Sam LaPorta,TE,receiving_yards,16,0.9388144451947583,poor,2.204794871530948,19.7176286713282,35.540972652621264
Sam LaPorta,TE,receiving_tds,16,0.8147670152808169,poor,7271060.724080816,-5.421519514397155e-07,0.75007538807608
